"Delete contact %{name}?","Slett kontakt %{name}?","AddressBook"
"Edit contact","Rediger kontakt","AddressBook"
"Delete contact","Slett kontakt","AddressBook"
"%{smart_count} address |||| %{smart_count} addresses","%{smart_count} adresse |||| %{smart_count} adresser","AddressBook"
"New contact","Ny kontakt","AddressBook"
"No information","Ingen informasjon","AddressBook"
"Delete","Slett","AddressBook"
"Edit","Rediger","AddressBook"
"NXS addresses","NXS adresser","AddressBook"
"My address for %{name}","Min adresse for %{name}","AddressBook"
"%{name}'s Address","%{name}'s Adresse","AddressBook"
"Contact info","Kontaktinfo","AddressBook"
"Nexus user ID","","AddressBook"
"Email","E-post","AddressBook"
"Phone Number","Telefonnummer","AddressBook"
"Local Time","Lokal tid","AddressBook"
"Notes","Merknader","AddressBook"
"Address book","Adressebok","AddressBook"
"Your address book is empty","Din adressebok er tom","AddressBook"
"Create new contact","Legg til ny kontakt","AddressBook"
"Search contact","Søk i kontakter","AddressBook"
"Export contacts","Eksporter kontakter","AddressBook"
"Tritium Mode","Tritium Modus","Header"
"Lite","","Header"
"Hybrid","","Header"
"Wallet is staking","Staking på lommeboken er aktivert","Header"
"pooled","","Header"
"Stake Rate","Stake Sats","Header"
"Waiting for 100% synchronization to start staking...","","Header"
"Wallet is not staking","Staking på lommeboken er ikke aktivert","Header"
"Synchronized","Synkronisert","Header"
"Synchronizing","Synkroniserer","Header"
"Blocks","","Header"
"Estimated %{time} remaining","","Header"
"%{smart_count} hour |||| %{smart_count} hours","","Header"
"%{smart_count} minute |||| %{smart_count} minutes","","Header"
"%{smart_count} second |||| %{smart_count} seconds","","Header"
"You're not logged in","","Header"
"You are staking but have not received a block in 30 minutes!","","Header"
"Switching...","",""
"Active","",""
"Switch","",""
"Switch user","",""
"Closing Nexus Wallet","Lukker Nexus Lommebok",""
"Pre-Release Active","",""
"You are currenctly running a * version of the wallet. ","",""
"Thank you for testing our wallet, please ","",""
"Click here","",""
" To send feedback to the developers. ","",""
"Or join us on the offical ","",""
"Ok","",""
"Testnet Only Mode","",""
"You are currenctly running a Testnet only version of the wallet. ","",""
"The core will only connect to nexus-interactions.io:testnet1 ","",""
"Close","Lukk",""
"Remote Core is disconnected","",""
"Connecting to Nexus Core...","Kobler til Nexus Kjerne...",""
"Nexus Core is stopped","Nexus Kjernen har stoppet",""
"Address has been copied to clipboard","Adressen har blitt kopiert til utklippstavlen",""
"Copy to clipboard","Kopier til utklippstavlen",""
"Click to copy to clipboard","",""
"Show QR code","",""
"Log in","",""
"No Rows Found","Ingen rader funnet",""
"Use virtual keyboard","",""
"<token_name></token_name> token","",""
"Unnamed token","",""
"Start Nexus Core","Start Nexus Kjerne",""
"Stop Nexus Core","Stop Nexus Kjerne",""
